"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_fit.","t.max_real.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20230315_140448",TRUE,"GS",2012,0.725699527950362,0.558465606595532,3.80842392421845,110,141,150,172,62,129.881068319936,129.161488892504,8.67250902016447,5.3808160561129,1,-1.47611790528702,66.5719666213791,16.7596226474549,0.00449469990415469,0,0.199393856313496,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2012","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","72,224","103,136","120,171","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","GS","",NA
"20230404_154042",FALSE,"GS",2013,0.515880144,0.462058252,3.290952104,110,141,140,172,62,105.8681541,128.5311632,4.76198193,5.204176272,2,-1.324762236,63.48199393,16.85628756,0.003918756,0,0.297893695,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"GS",2014,0.626269359,0.382767716,3.260613391,124,151,146,178,54,148.9590433,145.3179952,12.86399769,6.326062738,1,-0.535312052,50.1988149,14.99882796,0.000144346,0,0.236682954,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_140644",TRUE,"GS",2015,0.99868679721747,0.730770789406061,3.45718231027534,103,127,127,151,48,175.844395194186,119.794706519338,11.8932497485992,5.67335460565314,124,-0.954644209910198,41.7786215300692,13.3770124150786,0.00384172378396472,0,0.367267263965253,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2015","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","72,223","103,136","120,171","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","GS","",NA
"20230404_154042",FALSE,"GS",2016,0.631248497,0.682422675,2.169318359,126,142,144,158,32,42.85751698,42.18047448,2.941000491,2.828541331,NA,-1.021700063,21.98435659,8.742183705,0.003629746,0,0.209212494,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"GS",2017,0.532571056,0.398159545,2.792866186,102,134,134,166,64,301.458516,182.8531904,20.04416463,7.098669987,12,-0.762510671,63.7880017,17.42986365,0.001261237,0,0.248838081,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"GS",2018,0.575828773,0.458946529,3.516007471,123,148,148,173,50,871.9304728,271.7767153,73.75221783,14.35257053,12,-0.887571333,58.97776751,13.77707125,0.002332964,0,0.287682868,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_140953",TRUE,"GS",2019,0.544395907743511,0.630750937837686,3.0591999701533,105,120,120,135,30,33.3652698116619,28.6448428036194,3.623642674572,2.00718217512912,15,-1.45315247168441,20.6766344336389,8.32686570215539,0.00676606986346317,0,0.342478424317487,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2019","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","72,223","103,136","120,171","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","GS","",NA
"20230404_154042",FALSE,"GS",2020,0.333072597,0.297403684,2.40494956,126,144,139,162,36,27.42777791,28.10016322,1.72580241,1.688158191,NA,-1.054645527,23.32265036,9.622286597,0.002532531,0,0.245362961,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"GS",2021,0.897356262,0.79885746,2.241878844,99,127,111,155,56,117.6239059,89.43382349,6.431201319,3.406953586,12,-0.590012744,36.0558745,15.11558557,0.001749972,0,0.245707955,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
